function_id,degree,base_field_label,base_field_degree,sigma_one,sigma_two,sigma_three,ordinal,citations,family,original_model,monic_centered,chebyshev_model,reduced_model,newton_model,display_model,is_polynomial,is_chebyshev,is_newton,is_lattes,is_pcf,automorphism_group_cardinality,rational_twists,critical_portrait_cardinality,post_critical_cardinality,critical_portrait_components,critical_portrait_structure,critical_portrait_graph_id
18,2,1.1.1.1,1,2a33d80f,d5369193,fbfdbc67,1,{4},{1},"(""{{1,0,4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,4},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
19,2,1.1.1.1,1,c9569bc0,a7053830,02f5e6bd,1,{4},{1},"(""{{1,0,-4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-4},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,-4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,-1,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
20,2,1.1.1.1,1,9001b02b,7e85e52e,bcf2d069,1,{4},{1},"(""{{4,0,3},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,3/4},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{4,0,3},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
16,2,1.1.1.1,1,8f2b16a9,99353b99,4eb58230,1,{4},{1},"(""{{4,0,1},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1/4},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{4,0,1},{0,0,4}}"",256,{},1.3862943611198906,1.1.1.1,""{2,-1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
21,2,1.1.1.1,1,13a1af67,7eb43a7f,a937eb46,1,{4},{1},"(""{{4,0,-3},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-3/4},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{4,0,-3},{0,0,4}}"",256,{},1.3862943611198906,1.1.1.1,""{2,1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
17,2,1.1.1.1,1,78346cee,3159b86b,1f37fff1,1,{4},{1},"(""{{4,0,-1},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1/4},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{4,0,-1},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
22,2,1.1.1.1,1,83f086fc,41259ad2,e1bcc7a0,1,{4},{1},"(""{{3,0,4},{0,0,3}}"",81,{3},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,4/3},{0,0,1}}"",1,{3},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{3,0,4},{0,0,3}}"",81,{3},1.3862943611198906,1.1.1.1,""{1,2,0,3}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
4,2,1.1.1.1,1,0b88e8b9,0989e2e1,f5d6f0cd,1,{4},{1},"(""{{2,0,1},{0,0,2}}"",16,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1/2},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,1},{0,0,2}}"",16,{2},0.6931471805599453,1.1.1.1,""{1,1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
117,3,1.1.1.1,1,9a82bd54,3667f7d9,a1bf4c27,1,{1},{2},"(""{{1,0,0,1},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,0,1},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,0,1},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
5,2,1.1.1.1,1,c3da6343,1cff8e8b,4fbcb862,1,{4},{1},"(""{{2,0,-1},{0,0,2}}"",16,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1/2},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,-1},{0,0,2}}"",16,{2},0.6931471805599453,1.1.1.1,""{1,0,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
