label,degree,defn_poly_coeffs,signature,conductor,discriminant,class_number
3.1.1187.1,3,"{-2,7,-1,1}","{1,1}",1,-1187,
3.1.499.1,3,"{-3,4,0,1}","{1,1}",1,-499,
3.1.424.1,3,"{8,0,-1,1}","{1,1}",1,-424,
3.1.1075.1,3,"{12,2,-1,1}","{1,1}",1,-1075,
3.1.1812.1,3,"{-2,8,-1,1}","{1,1}",1,-1812,
3.1.1388.1,3,"{-5,7,-1,1}","{1,1}",1,-1388,
3.1.932.1,3,"{-4,5,0,1}","{1,1}",1,-932,
3.1.492.1,3,"{3,3,-1,1}","{1,1}",1,-492,
3.3.148.1,3,"{1,-3,-1,1}","{3,0}",1,148,
3.1.756.1,3,"{-12,-6,0,1}","{1,1}",1,-756,
3.1.2627.1,3,"{-2,9,-1,1}","{1,1}",1,-2627,
3.1.2116.1,3,"{-6,8,-1,1}","{1,1}",2,-2116,
3.1.1539.1,3,"{-5,6,0,1}","{1,1}",1,-1539,
3.1.379.1,3,"{-4,1,-1,1}","{1,1}",1,-379,
3.3.469.1,3,"{4,-5,-1,1}","{3,0}",1,469,
3.3.621.1,3,"{-3,-6,0,1}","{3,0}",1,621,
3.1.339.1,3,"{4,-1,-1,1}","{1,1}",1,-339,
3.1.567.1,3,"{-5,-3,0,1}","{1,1}",1,-567,
3.1.1011.1,3,"{-6,-5,-1,1}","{1,1}",1,-1011,
3.1.1743.1,3,"{15,-8,-1,1}","{1,1}",1,-1743,
3.1.2835.1,3,"{-19,-12,0,1}","{1,1}",3,-2835,
3.1.4359.1,3,"{-23,-16,-1,1}","{1,1}",1,-4359,
3.1.6387.1,3,"{48,-21,-1,1}","{1,1}",2,-6387,
3.1.8991.1,3,"{-9,27,0,1}","{1,1}",1,-8991,
3.1.247.1,3,"{-3,1,0,1}","{1,1}",1,-247,
3.1.231.1,3,"{3,0,-1,1}","{1,1}",1,-231,
3.1.87.1,3,"{1,2,-1,1}","{1,1}",1,-87,
3.1.1452.1,3,"{13,-7,-1,1}","{1,1}",1,-1452,
3.1.2479.1,3,"{-17,-11,0,1}","{1,1}",1,-2479,
3.1.984.1,3,"{-12,0,-1,1}","{1,1}",1,-984,
3.1.655.1,3,"{5,0,-1,1}","{1,1}",1,-655,
3.1.175.1,3,"{-3,2,-1,1}","{1,1}",1,-175,
3.1.239.1,3,"{-3,-1,0,1}","{1,1}",1,-239,
3.1.547.1,3,"{-4,-3,-1,1}","{1,1}",1,-547,
3.1.1135.1,3,"{11,-6,-1,1}","{1,1}",1,-1135,
3.1.2075.1,3,"{-15,-10,0,1}","{1,1}",3,-2075,
3.1.3439.1,3,"{-19,-14,-1,1}","{1,1}",1,-3439,
3.1.5299.1,3,"{42,-19,-1,1}","{1,1}",1,-5299,
3.1.7727.1,3,"{-51,-25,0,1}","{1,1}",1,-7727,
3.1.1647.1,3,"{-13,-9,0,1}","{1,1}",1,-1647,
3.1.2892.1,3,"{-17,-13,-1,1}","{1,1}",1,-2892,
3.1.4623.1,3,"{39,-18,-1,1}","{1,1}",1,-4623,
3.1.519.1,3,"{7,-4,-1,1}","{1,1}",1,-519,
3.1.1219.1,3,"{-11,-8,0,1}","{1,1}",1,-1219,
3.1.2319.1,3,"{-15,-12,-1,1}","{1,1}",2,-2319,
3.1.3891.1,3,"{36,-17,-1,1}","{1,1}",2,-3891,
3.1.6007.1,3,"{15,22,-1,1}","{1,1}",1,-6007,
3.1.743.1,3,"{-3,5,0,1}","{1,1}",1,-743,
3.1.268.1,3,"{5,-3,-1,1}","{1,1}",1,-268,
3.1.815.1,3,"{-9,-7,0,1}","{1,1}",1,-815,
3.1.436.1,3,"{-4,1,0,1}","{1,1}",1,-436,
3.1.3127.1,3,"{33,-16,-1,1}","{1,1}",1,-3127,
3.1.5036.1,3,"{-33,19,-1,1}","{1,1}",3,-5036,
3.1.1107.1,3,"{-3,6,0,1}","{1,1}",2,-1107,
3.1.759.1,3,"{-3,6,-1,1}","{1,1}",1,-759,
3.1.459.1,3,"{-8,3,0,1}","{1,1}",1,-459,
3.1.1191.1,3,"{-11,-10,-1,1}","{1,1}",1,-1191,
3.1.2355.1,3,"{-23,12,0,1}","{1,1}",1,-2355,
